Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,3,5,4,2,7,6,1,,,,,,,,,,,,,,
1,2,5,2,3,4,6,7,1,,,,,,,,,,,,,,
1,3,5,3,7,2,1,6,4,,,,,,,,,,,,,,
1,4,4,2,7,3,1,6,5,,,,,,,,,,,,,,
1,5,7,4,5,3,1,6,2,,,,,,,,,,,,,,
1,6,5,2,4,1,6,,3,,,,,,,,,,,,,,
1,7,5,2,4,1,6,7,3,,,,,,,,,,,,,,
1,8,4,2,5,1,7,6,3,,,,,,,,,,,,,,
1,9,3,5,4,1,7,6,2,,,,,,,,,,,,,,
1,10,4,2,6,1,5,7,3,,,,,,,,,,,,,,
1,11,6,2,,1,5,4,3,,,,,,,,,,,,,,
1,12,6,5,7,1,2,4,3,,,,,,,,,,,,,,
1,13,5,2,4,1,6,,3,,,,,,,,,,,,,,
1,14,6,5,1,3,4,2,7,,,,,,,,,,,,,,
1,15,5,1,,2,3,6,4,,,,,,,,,,,,,,
1,16,6,1,4,2,,5,3,,,,,,,,,,,,,,
1,17,3,1,5,2,7,6,4,,,,,,,,,,,,,,
1,18,3,1,4,5,,6,2,,,,,,,,,,,,,,
1,19,5,1,,3,6,4,2,,,,,,,,,,,,,,
1,20,4,1,6,5,2,3,,,,,,,,,,,,,,,
1,21,4,1,6,2,5,,3,,,,,,,,,,,,,,
1,22,5,1,4,3,6,,2,,,,,,,,,,,,,,
1,23,4,1,5,2,7,6,3,,,,,,,,,,,,,,
1,24,4,1,6,3,5,7,2,,,,,,,,,,,,,,
1,25,4,1,7,2,3,6,5,,,,,,,,,,,,,,
1,26,5,1,4,2,6,7,3,,,,,,,,,,,,,,
1,27,4,1,6,2,5,,3,,,,,,,,,,,,,,
1,28,5,1,4,2,6,,3,,,,,,,,,,,,,,
1,29,,,,,,,,1,5,2,8,10,9,3,7,12,11,14,13,4,6
1,30,,,,,,,,7,8,3,4,9,10,6,5,11,12,13,14,1,2
1,31,,,,,,,,9,10,2,4,7,8,1,3,12,11,,,5,6
1,32,,,,,,,,10,9,12,11,8,7,2,1,14,13,6,5,4,3
1,33,,,,,,,,7,8,1,4,11,12,2,5,6,3,,,9,10
1,34,,,,,,,,9,10,3,4,5,6,7,8,13,14,11,12,1,2
1,35,,,,,,,,7,8,1,4,9,10,3,5,11,12,13,14,2,6
1,36,,,,,,,,4,3,1,2,6,5,10,9,11,12,14,13,8,7
1,37,,,,,,,,14,13,1,4,8,7,2,3,12,11,10,9,6,5
1,38,,,,,,,,13,14,1,4,9,10,2,3,7,8,11,12,5,6
1,39,,,,,,,,3,4,1,2,11,12,7,8,9,10,13,14,5,6
