Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:David Pocock,C:Animal Justice Party,D:Australian Labor Party,E:Liberal,F:HEART/LIBERTARIAN,G:Australian Greens,A:HOLGATE James,A:HAYDON John,B:POCOCK David,B:VARDY Hannah,C:SOXSMITH Robyn,C:KUDRYCZ Walter,D:GALLAGHER Katy,D:OH Janaline,E:VADAKKEDATHU Jacob,E:LEE Hayune,F:SEARSON-PRAKAASH Elise,F:BROWN Martin,G:HOBBS Christina,G:ROCKE Jo
1,1,,1,4,3,6,5,2,,,,,,,,,,,,,,
1,4,,1,,,,,,,,1,,,,,,,,,,,
1,7,,,,,,,1,,,,,,,,,,,,,,
1,8,5,4,7,1,2,6,3,9,10,7,8,,,1,2,4,3,11,12,6,5
1,9,,,,,,,,6,7,5,8,1,2,11,12,,,9,10,3,4
1,10,5,1,4,7,2,6,3,9,10,1,2,7,8,13,14,3,4,11,12,5,6
1,11,1,3,2,4,5,6,,12,10,1,11,,2,3,,7,4,5,6,9,8
1,12,,,,,,,,10,9,7,8,4,5,2,6,14,12,11,13,1,3
1,13,5,1,6,2,3,4,6,5,6,1,3,,,2,4,9,10,7,8,11,12
1,14,,,,,,,,5,6,1,4,7,9,11,12,13,14,8,10,2,3
1,15,,,,,,,,3,4,1,2,9,10,11,12,13,14,5,6,7,8
1,16,4,1,,2,3,5,6,,7,1,3,12,10,2,4,5,8,9,6,,11
1,17,,,,,,,,12,13,6,5,8,11,3,4,10,9,7,14,2,1
1,18,,,,,,,,6,7,4,5,,3,2,1,8,12,,9,10,11
1,19,,,,,,,,10,11,1,3,,,2,4,12,7,9,8,6,5
1,20,,,,,,,,7,9,2,4,8,10,1,3,13,14,11,12,5,6
1,21,,,,,,,,3,,1,2,,12,6,7,11,10,8,9,4,5
1,22,,,,,,,,12,11,7,8,9,10,1,2,13,14,6,5,4,3
1,23,,,,,,,,9,10,1,2,13,14,6,5,7,8,11,12,3,4
1,24,4,3,5,2,7,6,1,,,,,,,,,,,,,,
1,25,3,4,2,5,6,,1,,,,,,,,,,,,,,
1,26,7,2,4,3,5,6,1,,,,,,,,,,,,,,
1,27,4,3,5,2,6,,1,,,,,,,,,,,,,,
1,28,5,4,3,2,,6,1,,,,,,,,,,,,,,
1,29,2,3,4,6,5,,1,,,,,,,,,,,,,,
