Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,2,3,1,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,2,4,,1,5,2,,6,3,,,,,,,,,,,,,,,,,
1,3,3,5,1,6,8,7,,,,,,,,,,,,,,,,,,,
1,4,2,3,1,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,5,2,,1,6,5,7,4,8,,,,,,,,,,,,,,,,,
1,6,8,6,1,2,5,7,3,4,,,,,,,,,,,,,,,,,
1,7,6,2,1,3,4,5,7,8,,,,,,,,,,,,,,,,,
1,8,3,4,1,2,5,6,,,,,,,,,,,,,,,,,,,
1,9,5,4,1,8,3,7,6,2,,,,,,,,,,,,,,,,,
1,10,6,7,1,5,4,8,3,2,,,,,,,,,,,,,,,,,
1,11,,,1,5,2,6,4,3,,,,,,,,,,,,,,,,,
1,12,2,6,1,3,5,8,4,7,,,,,,,,,,,,,,,,,
1,13,8,7,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,14,3,,1,5,6,2,,4,,,,,,,,,,,,,,,,,
1,15,2,3,1,4,5,6,,,,,,,,,,,,,,,,,,,
1,16,6,4,1,7,2,,3,5,,,,,,,,,,,,,,,,,
1,17,6,2,1,3,5,4,,,,,,,,,,,,,,,,,,,
1,18,,5,1,4,2,6,3,,,,,,,,,,,,,,,,,,
1,19,,,1,4,2,3,5,6,,,,,,,,,,,,,,,,,
1,20,7,8,1,5,6,2,3,4,,,,,,,,,,,,,,,,,
1,21,3,4,1,8,2,7,6,5,,,,,,,,,,,,,,,,,
1,22,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,
1,23,4,8,1,3,2,6,5,7,,,,,,,,,,,,,,,,,
1,24,,3,1,2,4,5,6,,4,,3,,1,,2,,5,,6,,,,,,
1,25,7,6,1,,3,2,4,5,,,,,,,,,,,,,,,,,
1,26,4,8,1,5,2,7,3,6,,,,,,,,,,,,,,,,,
1,27,5,4,1,8,3,7,2,6,,,,,,,,,,,,,,,,,
1,28,2,,1,3,4,5,6,,,,,,,,,,,,,,,,,,
1,29,,4,1,6,2,5,3,,,,,,,,,,,,,,,,,,
1,30,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
1,31,2,3,1,4,5,6,,,,,,,,,,,,,,,,,,,
1,32,,,1,4,5,3,2,6,,,,,,,,,,,,,,,,,
1,33,8,7,1,2,3,5,4,6,,,,,,,,,,,,,,,,,
1,34,6,5,1,3,4,2,8,7,,,,,,,,,,,,,,,,,
1,35,,,1,,,,,,,,,,,,,,,,,,,,,,
1,36,5,4,1,8,3,7,2,6,,,,,,,,,,,,,,,,,
1,37,4,3,1,5,2,8,7,6,,,,,,,,,,,,,,,,,
1,38,4,3,1,5,2,6,,,,,,,,,,,,,,,,,,,
1,39,,,1,5,3,4,5,6,,,,,,,,,,,,,,,,,
1,40,,,1,5,6,2,3,4,,,,,,,,,,,,,,,,,
1,41,,,1,5,2,3,4,6,,,,,,,,,,,,,,,,,
1,42,6,5,1,3,7,2,4,8,,,,,,,,,,,,,,,,,
1,43,,,1,2,6,5,4,3,,,,,,,,,,,,,,,,,
1,44,4,3,1,5,2,,,6,,,,,,,,,,,,,,,,,
1,45,5,3,1,4,5,6,7,8,,,,,,,,,,,,,,,,,
1,46,,,1,,,,,,,,,,,,,,,,,,,,,,
1,48,,,1,,,,,,,,,,,,,,,,,,,,,,
1,49,3,,1,,2,8,5,4,,,,,,,,,,,,,,,,,
