Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Legalise Cannabis Party,C:Australian Labor Party (Northern Territory) Branch,D:NT CLP,E:Australian Greens,F:Pauline Hanson's One Nation,G:Citizens Party,H:Libertarian,A:CHIVERS Ian,A:WHYTE Lamaan,B:LAWRENCE Lance Alfred,B:LUYKEN Suzette,C:McCARTHY Malarndirri,C:ALSOP Michael William,D:PRICE Jacinta Nampijinpa,D:HERSEY Dean,E:NEWPORT Aia,E:WELLS Hugo,F:NUGENT Darren,F:HEWES Caine,G:WYLIE Lionel,G:CAMPBELL Trudy,H:HANSEN Jed,H:SMITH Trevor,UG:KENNY Que
1,1,6,4,8,1,3,2,5,7,,,,,,,,,,,,,,,,,
1,2,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,3,8,7,2,1,3,4,5,6,,,,,,,,,,,,,,,,,
1,4,7,,2,1,4,5,6,3,,,,,,,,,,,,,,,,,
1,5,,5,6,1,3,4,,2,,,,,,,,,,,,,,,,,
1,6,4,3,2,1,5,6,7,8,,,,,,,,,,,,,,,,,
1,7,8,3,5,1,4,2,7,6,,,,,,,,,,,,,,,,,
1,8,,5,2,1,3,4,6,,,,,,,,,,,,,,,,,,
1,9,5,6,,1,,2,3,4,,,,,,,,,,,,,,,,,
1,10,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,11,,6,5,1,,2,3,4,,,,,,,,,,,,,,,,,
1,12,3,7,2,1,6,5,4,8,,,,,,,,,,,,,,,,,
1,13,6,5,7,1,8,2,3,4,,,,,,,,,,,,,,,,,
1,14,6,5,2,1,3,4,7,8,,,,,,,,,,,,,,,,,
1,15,3,8,2,1,6,7,4,5,,,,,,,,,,,,,,,,,
1,16,6,,3,1,,2,4,5,,,,,,,,,,,,,,,,,
1,17,,,6,1,2,3,4,5,,,,,,,,,,,,,,,,,
1,18,4,,3,1,5,2,6,,,,,,,,,,,,,,,,,,
1,19,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,20,5,4,6,1,2,3,,,,,,,,,,,,,,,,,,,
1,21,5,4,6,1,2,3,,,,,,,,,,,,,,,,,,,
1,22,7,5,8,1,3,2,4,6,,,,,,,,,,,,,,,,,
1,23,8,6,4,1,7,5,2,3,,,,,,,,,,,,,,,,,
1,24,5,4,2,1,8,3,6,7,,,,,,,,,,,,,,,,,
1,25,6,2,,1,3,4,5,,,,,,,,,,,,,,,,,,
1,26,5,6,,1,,2,4,3,,,,,,,,,,,,,,,,,
1,27,6,5,7,1,8,4,2,3,,,,,,,,,,,,,,,,,
1,28,6,,2,1,4,5,,3,,,,,,,,,,,,,,,,,
1,29,6,8,5,1,4,2,3,7,,,,,,,,,,,,,,,,,
1,30,5,6,3,1,4,2,7,8,,,,,,,,,,,,,,,,,
1,31,3,4,6,1,2,5,,,,,,,,,,,,,,,,,,,
1,32,4,2,8,1,7,3,5,6,,,,,,,,,,,,,,,,,
1,33,8,4,2,1,3,6,7,5,,,,,,,,,,,,,,,,,
1,34,3,2,4,1,8,5,6,7,,,,,,,,,,,,,,,,,
1,35,,4,2,1,6,,5,3,,,,,,,,,,,,,,,,,
1,36,6,7,2,1,3,4,5,8,,,,,,,,,,,,,,,,,
1,37,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,38,6,5,4,1,8,7,3,2,,,,,,,,,,,,,,,,,
1,39,5,3,6,1,,2,,4,,,,,,,,,,,,,,,,,
1,40,5,,2,1,3,,4,6,,,,,,,,,,,,,,,,,
1,41,3,5,,1,2,,6,4,,,,,,,,,,,,,,,,,
1,42,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
1,43,7,8,2,1,3,4,6,5,,,,,,,,,,,,,,,,,
1,44,6,2,7,1,3,8,4,5,,,,,,,,,,,,,,,,,
1,45,7,,2,1,3,4,5,6,,,,,,,,,,,,,,,,,
1,46,5,4,6,1,2,3,,,,,,,,,,,,,,,,,,,
1,47,5,,1,2,3,,4,6,,,,,,,,,,,,,,,,,
1,48,4,,2,1,3,,5,6,,,,,,,,,,,,,,,,,
1,49,8,7,2,1,6,3,4,5,,,,,,,,,,,,,,,,,
1,50,3,8,7,1,6,2,4,5,,,,,,,,,,,,,,,,,
2,1,5,4,6,1,,2,,3,,,,,,,,,,,,,,,,,
2,2,5,4,6,1,2,3,,,,,,,,,,,,,,,,,,,
2,3,6,7,,1,2,3,4,5,,,,,,,,,,,,,,,,,
2,4,3,,4,1,5,2,,6,,,,,,,,,,,,,,,,,
2,5,7,2,6,1,3,8,7,5,,,,,,,,,,,,,,,,,
2,6,4,5,8,1,7,2,3,6,,,,,,,,,,,,,,,,,
2,7,6,,,1,3,2,4,5,,,,,,,,,,,,,,,,,
2,8,2,3,,1,4,5,6,,,,,,,,,,,,,,,,,,
2,9,5,4,6,1,2,8,7,3,,,,,,,,,,,,,,,,,
2,10,3,4,7,1,5,2,8,6,,,,,,,,,,,,,,,,,
2,11,5,4,6,1,2,,,3,,,,,,,,,,,,,,,,,
2,12,5,4,7,1,8,2,6,3,,,,,,,,,,,,,,,,,
2,13,5,,6,1,,2,3,4,,,,,,,,,,,,,,,,,
