Booth,Paper,A:Socialist Alliance,B:Trumpet of Patriots,C:Indigenous - Aboriginal Party of Australia,D:FUSION | Planet Rescue | Whistleblower Protection | Innovation,E:Australia's Voice,F:Jacqui Lambie Network,G:Gerard Rennick People First|Katter's Australian Party,H:Australian Democrats,I:LNP,J:Australian Labor Party,K:Great Australian Party & HEART Party,L:Citizens Party,M:Animal Justice Party,N:Family First,O:Legalise Cannabis Party,P:The Greens,Q:Pauline Hanson's One Nation,R:Sustainable Australia Party - Universal Basic Income,S:Libertarian,A:STRAUSS Jonathan,A:EMANUEL Kamala,B:FONG Harry,B:McMULLAN Robert,B:McCLAER David,C:WHARTON Wayne CoCo,C:DAVIS Marnie Laree,D:SIMPSON Chris,D:JORDAN Frank,E:McDONALD Michelle,E:LECKIE Cameron McClure,E:McGUIRE Aidan,F:HARPER Ange,F:SCHRAMM Craig,G:RENNICK Gerard,G:LYON Robert,H:ROBERTS Scott Frazer,H:PULLAR Luke Daniel,I:SCARR Paul,I:McDONALD Susan,I:FRASER Stuart,I:LI Sophia,I:TUNNEY Yvonne,I:ZHUANG Peter,J:GREEN Nita,J:MULHOLLAND Corinne,J:CASEY Peter,J:SHANKEY Danielle,J:CHISHOLM Melinda,J:BAILEY Brianna,K:BAY William,K:SMITH Catherine,L:PUKALLUS Jan,L:HEALY Richard Frederick,M:JENSZ Michelle,M:DILLON Gregory,N:LUSH Katie,N:FULLER Karen,O:JONES Belinda,O:LINDSAY Melody,P:WATERS Larissa,P:SIDHU Navdeep Singh,P:GARTON Claire,P:COX Jennifer,P:McARDLE Melissa,P:KENNEDY Kirsten,Q:ROBERTS Malcolm,Q:COURT Geena,R:MARTIN Rhett,R:HONNIBALL Ross,S:WILLMOTT Jim,S:LADE Lachlan,UG:HOLMES Gilbert,UG:DONOHUE Danny,UG:WONG Duke,UG:BROWN Jason
1,1,,,,,,,,,,,,,,,,,,,,5,,4,,,3,,1,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,2,,,,,,,,,,,,,,,,9,10,11,12,,,5,6,,,,,,,7,8,13,14,15,16,17,18,,,,,,,,,,
1,3,,,,,,,,,,,,,,,,,,,,10,11,,,12,9,,1,,,2,,3,,,4,5,,,6,,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,9,10,11,12,,,4,7,,,,,,
1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,5,6,7,8,9,10,,,,,,,,,11,12,,,,,,,,,3,4,,,,,,
1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,3,4,5,6,7,8,,,,,,,,,,,,,,,,,,,,,,,9,10,11,12
1,8,,,,,,,,,,,,,,,,,,,,9,,,,,7,,,,,,,,,10,,1,6,2,4,12,,,,3,5,,,,,,,,,,,,,11,,8,,,,,,,,,,,,,,,
1,9,,1,,,,,,,,,,6,,5,2,,3,4,,,,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,2,1,2,,,,,,,1,2,1,2,,,,,,
1,10,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,10,11,12,,,8,9,,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,4,5,,,,,,,,
1,12,,1,,,2,,3,,,,,4,,5,,6,,,,,,1,2,3,,,,,4,5,6,,,7,8,,,,,,,,,,,,,,,,,9,10,,,11,12,,,,,,,,,,,,,,,,,,
1,14,4,3,,,2,,,,,,,6,,,5,,1,,,8,,1,,,,,,,7,,,,,,,,,,,,,,,,,,,,,9,,2,,10,,11,,6,,,,,,,,3,4,5,12,,,,,,
1,15,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,10,11,,,,,,6,7,8,9,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,4,5,,,,,,,,
1,16,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,7,,,12,,10,11,,,,,,,8,9,,,,,,,,
1,17,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,4,5,6,7,8,9,,,,,,,,,,,,,12,,,,,,,,,,10,11,,,,,,,,
1,18,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,4,5,6,7,8,9,,,,,,,,,,,,,,,12,,,,,,,,10,11,,,,,,,,
1,19,,,,,,,,,,,,,,,,,,,,,,3,1,2,,,,,,,,,,5,4,,,7,12,6,11,10,7,,,,,,,,,,,,,,,,,,,,,,,8,9,,,,,,,,
1,20,1,5,,6,4,,,,3,2,,,,,,,,,,1,,,2,,,4,,,,3,,,,5,,,,,6,,,,,,,,7,,,8,,,,,9,,,,,,,10,,,,,,,11,,,,,,12
1,21,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,3,,,4,,5,,6,,7,,,,,,8,,,,,,9,,10,,11,,12,,,,,,,,,,,,,,,,,,,
1,22,,,,,,,,,,,,,,,,,,,,1,2,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,8,9,10,,,11,12,,,,,,
1,24,,5,1,4,6,,,,,,,,,,,3,,2,,,1,2,,,,3,4,,,5,,,6,7,,,8,9,,,,,,,,,10,,,11,,,12,,13,14,,15,,,16,,,,,,17,,18,,19,,20,,
