Booth,Paper,A:Socialist Alliance,B:Trumpet of Patriots,C:Indigenous - Aboriginal Party of Australia,D:FUSION | Planet Rescue | Whistleblower Protection | Innovation,E:Australia's Voice,F:Jacqui Lambie Network,G:Gerard Rennick People First|Katter's Australian Party,H:Australian Democrats,I:LNP,J:Australian Labor Party,K:Great Australian Party & HEART Party,L:Citizens Party,M:Animal Justice Party,N:Family First,O:Legalise Cannabis Party,P:The Greens,Q:Pauline Hanson's One Nation,R:Sustainable Australia Party - Universal Basic Income,S:Libertarian,A:STRAUSS Jonathan,A:EMANUEL Kamala,B:FONG Harry,B:McMULLAN Robert,B:McCLAER David,C:WHARTON Wayne CoCo,C:DAVIS Marnie Laree,D:SIMPSON Chris,D:JORDAN Frank,E:McDONALD Michelle,E:LECKIE Cameron McClure,E:McGUIRE Aidan,F:HARPER Ange,F:SCHRAMM Craig,G:RENNICK Gerard,G:LYON Robert,H:ROBERTS Scott Frazer,H:PULLAR Luke Daniel,I:SCARR Paul,I:McDONALD Susan,I:FRASER Stuart,I:LI Sophia,I:TUNNEY Yvonne,I:ZHUANG Peter,J:GREEN Nita,J:MULHOLLAND Corinne,J:CASEY Peter,J:SHANKEY Danielle,J:CHISHOLM Melinda,J:BAILEY Brianna,K:BAY William,K:SMITH Catherine,L:PUKALLUS Jan,L:HEALY Richard Frederick,M:JENSZ Michelle,M:DILLON Gregory,N:LUSH Katie,N:FULLER Karen,O:JONES Belinda,O:LINDSAY Melody,P:WATERS Larissa,P:SIDHU Navdeep Singh,P:GARTON Claire,P:COX Jennifer,P:McARDLE Melissa,P:KENNEDY Kirsten,Q:ROBERTS Malcolm,Q:COURT Geena,R:MARTIN Rhett,R:HONNIBALL Ross,S:WILLMOTT Jim,S:LADE Lachlan,UG:HOLMES Gilbert,UG:DONOHUE Danny,UG:WONG Duke,UG:BROWN Jason
1,1,,,,,,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,1,6,,,,,,,,,,,,,,,2,7,,,,,5,9,,,,,,,,,3,10,,,4,8,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,5,3,4,,,,,20,21,22,,,1,2,,,,,,,,,,,,,,,23,24,6,7,,,16,17,14,15,,,,,,,8,9,11,13,,,10,12,18,19
1,3,,,,,,,,,,,,,,,,,,,,,,3,,,12,,,,4,,,11,,1,,5,,,,,,,,,,,,,,6,,,,,,7,,,,,,,,,,,2,8,,,10,9,,,
1,4,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,5,,1,2,8,,,,,,,,7,,,,9,,,,,,,,4,12,,,,,,,,,3,10,11,,,,,,,
1,5,,,,,,,,,,,,,,,,,,,,,,4,5,11,,,,,,,,,,1,2,,,,,,,,,,,,,,,12,,,,,,,,9,10,,,,,,,6,8,,,3,7,,,,
1,6,,6,,,,,1,,4,,,3,5,,,,2,,,,,7,8,9,,,,,6,10,,,,1,5,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,3,11,12,,,,,,,
1,7,,,,,,,,,,,,,,,,,,,,8,,,,7,9,,10,,6,,,5,,1,,,11,,17,,,,,,,,,,19,,12,,14,13,,3,,16,,,,18,,,,15,,4,,,2,,,,
1,8,,,,,,,,,,,,,,,,,,,,,,,3,,8,,6,,5,,,7,,1,,12,,,,,,,,,,,,,,10,,,,11,,4,,,,,,,,,,2,,,,,,9,,,
1,9,,,,,,,,,,,,,,,,,,,,,,5,6,7,,,,,,,,,,11,,,,8,9,10,12,,,,,,,,,,,,,,,1,2,,,,,,,,,3,4,,,,,,,,
1,10,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,3,,,,,,,,,,,10,11,,,,,,,6,7,,,1,9,,8,,,,,,,,12,,,2,,,,,,
1,11,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
1,12,1,2,3,4,5,6,,,,,,,,,,,,,,12,,11,,,10,,9,,8,,,7,,6,,5,,4,,,,,,3,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,,,,,,,,,,,,9,10,,,,,,7,8,,,,,11,12,,,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,3,4,5,6,,,,,,,,,7,8,,,,,,,,,,,9,10,11,12,,
1,15,,,,,,,,,,,,,,,,,,,,27,28,31,30,29,23,24,25,26,32,33,34,35,36,37,38,7,8,39,40,41,42,43,44,1,2,3,4,5,6,45,46,47,48,21,22,49,50,51,52,9,10,11,12,13,14,54,53,19,20,55,56,15,16,17,18
1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,7,8,,,9,10,11,12
1,17,,,,,,,,,,,,,,,,,,,,,,,,,17,18,23,24,,,32,25,26,,,20,19,,31,,,,,4,5,3,6,2,1,,,,,27,28,,,21,22,10,11,7,8,12,9,,,29,30,,,13,16,14,15
1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,7,8,9,10,11,12,,,,,,,,,,,,
1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,6,5,,,,,2,1,,,,8,,3,,4,,,,,,,12,9,,10,,11,,,,,,
1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,,,,,,,,,1,2,3,4,5,6,,,,,9,10,,,7,8,,,,,,,,,,,,,,,,
1,21,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,5,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,,,,,,,,,,,,,,,,,,,,,,,,,8,7,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,9,10,,,,,,,12,11,,,,,,,,,,,,
1,23,,,,,,,,,,,,,,,,,,,,13,14,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,,,7,8,9,10,11,12,,,,,,,,,,
1,24,15,2,14,10,9,13,12,11,1,8,16,7,6,5,17,18,3,,4,,,,,,,,,,6,,,5,,4,,3,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,,,,,,,,,,,,,,,,,,,,,,11,12,,,,9,10,,,,7,8,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,10,11,12,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,,,,,9,10,11,12,13,14,1,2,3,4,5,6,,,,,,,,,,,15,16,17,18,19,20,,,,,,,,,,
1,28,,,,,,,,,,,,,,,,,,,,19,20,,,,,,,,21,22,23,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,7,8,9,10,11,12,13,14,,,,,,,15,16,17,18
1,29,,,,,,,,,,,,,,,,,,,,13,15,48,49,50,17,19,46,47,14,16,18,20,21,25,24,22,23,51,53,54,56,55,52,5,3,1,2,4,6,26,27,28,29,30,31,44,45,7,8,32,34,36,37,38,39,33,35,40,42,41,43,9,11,12,10
1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,4,,,,5,,6,,,,2,,,,,,,,,,,,,,,
1,31,,,,,,,,,,,,,,,,,,,,,,6,,,7,,,,8,,,,,5,,10,,1,,,,,,,,,,,,,,9,,11,,3,,,,,,,,,,2,,12,,4,,,,,
1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,6,,1,2,3,7,10,11,,,,,,,,,,,,,8,,,,12,,,,,,4,5,,,,,,,,
1,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,9,,,,,,,1,2,3,4,5,6,,,,,,,,,12,,,11,10,,,,,,,,,,,,,,,,,,,
1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,,,,,,,,,,,,,,,,,,,11,,,,,8,9,10,,,,,,,,,,,3,,,2,,1,,,,,,,,,,12,6,7,,,4,5,,,,,,,,,13,14,,,,,15,
1,36,,,,,,,,,,,,,,,,,,,,43,44,9,10,11,37,38,39,40,24,25,26,12,13,14,15,27,28,1,2,3,4,5,6,45,46,47,48,49,50,29,30,22,23,35,36,7,8,33,34,51,52,53,54,55,56,16,17,41,42,31,32,21,20,19,18
1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,5,3,2,6,7,10,11,9,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,,,1,2,6,7,8,9,,,,,,,,,,,,,,,,,,,,,,,5,12,,,3,11,,,,
1,39,,,,,,,,,,,,,,,,,,,,19,20,21,22,23,24,25,26,27,28,29,30,31,30,33,32,34,35,2,1,3,5,4,6,46,45,44,43,42,41,16,15,17,18,16,15,13,14,36,37,,,,,,,7,8,39,38,10,40,11,9,10,12
1,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,3,1,2,8,9,10,,,,,,,,,,,,,,,,,,,,,,,4,5,,,,,11,12,,
1,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,5,6,7,,,,,,,,,,,,,,,9,10,,,,,,,2,8,,,,,11,12,13,14
