Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Liberal,C:Trumpet of Patriots,D:Legalise Cannabis Party,E:Animal Justice Party,F:The Greens,G:Jacqui Lambie Network,H:Libertarian,I:Pauline Hanson's One Nation,J:Citizens Party,K:Australian Labor Party,"L:Shooters, Fishers and Farmers Party",A:BILIC Dennis,A:RICHARDSON Pierre,B:CHANDLER Claire,B:COLBECK Richard Mansell,B:MARTIN Jacki,C:MOORE Wayne Leslie,C:KELLY Matt,C:SMITH Greg,D:OWEN Matt,D:HESTER Gail,E:DAVIES Casey,E:LUCAS Kate Elizabeth,F:McKIM Nick,F:BLEYER Vanessa,F:JORDAN Scott,F:HOARE Trenton,G:LAMBIE Jacqui,G:HANNAN Christine,H:ABRAHAM Chrysten,H:ARMSTRONG Nicole,I:HANSON Lee,I:DUNN James,J:STAGGARD Daryl,J:WILLIAMS Ray,K:BROWN Carol,K:DOWLING Richard,K:FALLS Bailey,K:O'DONNELL Saxon,K:LUCKMAN Greg,K:MEYERS Amelia Louise,L:BIGG Phillip,L:ROACH Melanie,UG:EDWARDS Fenella
1,1,,,,,,,,,,,,,,,2,8,9,1,3,4,,,,,,,,,12,,,,,,6,7,5,,10,,,11,,,
1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,4,5,6,,,
1,10,,,,2,10,1,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,,,,,,5,6,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,2,,6,,,3,7,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,6,5,4,1,3,,,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,6,3,,1,,,,,2,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,4,,,1,3,2,,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,,4,,,5,1,3,,,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,3,8,12,2,7,1,6,10,11,4,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,9,12,10,6,3,1,4,8,11,7,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,3,7,12,2,6,1,5,9,10,11,4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,,4,,6,,1,2,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,5,,,4,,1,,,,6,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,3,10,9,2,6,1,11,8,12,5,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,4,,,3,2,1,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,,3,,,4,1,5,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,,7,,,4,1,3,,5,6,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,2,4,,,1,,,,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,5,,,3,4,1,6,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,2,,,3,6,1,,,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,,4,,,5,6,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,9,6,2,12,8,11,7,4,1,5,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,,2,6,,,5,4,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,,5,3,,,,,2,1,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,,4,3,,,,,5,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,4,3,,,,,5,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,4,3,,,2,,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,,4,3,,,,,5,1,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,,5,3,,,,,2,1,6,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,39,,,,,,,,,,,,,5,6,,,,,,,,,,,1,2,3,4,,,,,,,,,7,8,9,10,11,12,,,
1,40,,,,,,,,,,,,,8,9,,,,,,,5,6,,,1,2,4,3,10,11,,,,,,,,,,,,12,,,7
1,41,,1,10,9,8,7,2,3,6,5,4,11,,,2,1,3,,,,,,,,,,,,4,5,,,6,7,8,9,10,11,12,,,,,,
1,42,,,,,,,,,,,,,,,1,2,3,10,11,12,,,,,,,,,4,5,,,8,9,,,,,,,,,6,7,
1,43,,,,,,,,,,,,,9,8,3,2,1,,,,,,,,7,6,5,4,,,,,,,,,15,10,14,13,12,11,,,
1,44,,,,,,,,,,,,,33,32,1,2,3,31,30,29,27,28,26,25,22,21,20,19,4,5,17,18,24,23,6,7,8,9,10,11,12,13,14,15,16
1,45,,,,,,,,,,,,,7,,9,10,,,,,5,6,12,,,,,,,,,4,,,,,8,11,,,,,2,3,1
1,46,,,,,,,,,,,,,11,12,,,,,,,,,,,7,8,9,10,,,,,,,,,1,6,5,4,3,2,,,
1,47,,,,,,,,,,,,,,,,,,,,,,,,,9,10,11,12,1,2,,,,,,,3,4,5,6,7,8,,,
1,48,,,,,,,,,,,,,8,7,26,25,24,31,32,33,1,2,23,22,3,4,5,6,21,20,19,18,30,29,17,16,14,13,12,9,10,11,28,27,15
1,49,,,,,,,,,,,,,12,21,24,22,23,33,32,31,2,1,20,19,13,9,11,10,29,30,17,18,27,28,25,16,6,8,5,3,7,4,14,15,26
1,50,,,,,,,,,,,,,9,,2,8,10,,,,,,7,,,,,,1,,,,3,11,12,,4,,,,5,,6,,
2,1,3,10,9,8,5,4,1,,6,7,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,6,3,,,5,4,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,5,,3,4,6,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,7,6,,5,,1,,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,,,,6,5,3,1,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,,2,3,,,5,6,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,,6,,5,,2,,,,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,5,3,,,,2,6,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,5,,,6,3,2,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,,,,3,2,6,4,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,,,,,,6,2,3,4,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,6,,,5,4,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,3,,,4,2,5,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,4,,,3,2,,6,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,,3,4,,,,2,,5,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,5,3,,,6,4,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,,8,7,6,5,4,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,,,6,,,2,4,,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,6,4,,2,,,,,,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,,,,6,4,3,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,5,4,,,,,3,,6,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,6,,,,5,2,3,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,5,4,3,,,2,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24,4,,,,5,2,3,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25,4,,,2,3,6,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26,,,,4,5,3,2,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,27,5,4,,,6,2,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,28,,3,,6,2,4,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29,5,,,4,2,3,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30,4,2,,6,5,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31,,,,6,4,3,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32,2,,,,6,3,4,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33,,,,6,4,3,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,34,4,,,,,2,3,6,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,35,,4,5,,,6,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,36,,,,6,4,3,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,37,,2,6,,,3,,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,38,5,4,,,,2,3,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,39,3,2,,9,8,4,5,6,11,7,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,40,,6,,5,4,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,41,9,12,11,6,5,3,2,8,4,7,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42,5,2,4,,,3,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,43,3,2,,6,5,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,44,3,7,8,2,4,11,12,10,7,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45,4,,6,,,,2,,3,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46,5,3,,,,6,,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47,,4,5,,,,1,,2,6,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,48,10,4,2,6,7,12,1,8,3,9,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49,6,2,,5,,4,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,50,6,4,,,,3,1,,5,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,12,,,,,,,,7,8,5,6,,,,,4,3,,,9,10,,,,,,,,,2,1,11
3,2,10,9,1,,5,4,7,6,2,3,,8,15,16,17,18,19,3,4,5,30,31,13,14,9,10,11,12,20,21,7,8,1,2,13,14,21,23,24,25,26,27,28,29,6
3,3,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,3,,,,,,,,,5,6,7,8,9,10,11,12,
3,4,1,,,5,6,,2,,3,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,,,1,2,6,,5,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,,,1,,6,5,6,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,,2,1,,,,,4,3,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,,6,1,5,,,,2,3,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,8,12,1,7,9,11,5,10,3,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,9,1,8,2,7,6,,5,,4,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,,1,,,,4,,6,3,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,,1,2,3,,6,,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,12,1,2,9,10,11,7,8,6,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,,1,,,,,5,3,2,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,,1,5,4,,,3,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,4,1,,3,,,2,,,6,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,,1,,,,,3,,2,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,18,,1,6,,,,3,,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19,,1,2,,,6,5,,4,,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,10,1,11,4,5,12,2,6,7,8,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21,,1,,2,3,4,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,,1,10,8,7,11,3,9,2,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23,9,1,8,7,2,10,5,6,3,12,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,6,1,,4,,,2,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25,,1,,,,,2,,3,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,26,2,1,,,,,3,,6,,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,27,,1,,6,,4,,5,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,28,,1,3,,,5,4,,6,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,29,,1,2,,6,,3,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30,,1,2,,5,3,4,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,31,,1,,,,2,3,,,6,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,32,6,1,,,4,,3,,,,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,33,,1,,,,3,4,,5,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,34,5,1,4,3,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,35,,1,,,6,5,2,,3,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,36,,1,5,,6,4,3,,,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,37,5,1,6,7,8,9,2,10,3,11,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,38,,1,6,,,,2,,5,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,39,,1,,6,2,,3,4,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,40,8,1,9,10,11,12,3,7,4,6,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,41,12,1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,42,5,1,6,11,7,12,2,8,3,9,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,43,,1,,,,,4,6,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,44,8,1,2,3,4,5,6,7,9,10,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45,,1,5,,4,,3,6,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,46,10,1,2,9,8,11,3,7,4,5,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,47,6,1,5,8,7,11,2,9,3,4,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
