Booth,Paper,A:Sustainable Australia Party - Universal Basic Income,B:Liberal,C:Trumpet of Patriots,D:Legalise Cannabis Party,E:Animal Justice Party,F:The Greens,G:Jacqui Lambie Network,H:Libertarian,I:Pauline Hanson's One Nation,J:Citizens Party,K:Australian Labor Party,"L:Shooters, Fishers and Farmers Party",A:BILIC Dennis,A:RICHARDSON Pierre,B:CHANDLER Claire,B:COLBECK Richard Mansell,B:MARTIN Jacki,C:MOORE Wayne Leslie,C:KELLY Matt,C:SMITH Greg,D:OWEN Matt,D:HESTER Gail,E:DAVIES Casey,E:LUCAS Kate Elizabeth,F:McKIM Nick,F:BLEYER Vanessa,F:JORDAN Scott,F:HOARE Trenton,G:LAMBIE Jacqui,G:HANNAN Christine,H:ABRAHAM Chrysten,H:ARMSTRONG Nicole,I:HANSON Lee,I:DUNN James,J:STAGGARD Daryl,J:WILLIAMS Ray,K:BROWN Carol,K:DOWLING Richard,K:FALLS Bailey,K:O'DONNELL Saxon,K:LUCKMAN Greg,K:MEYERS Amelia Louise,L:BIGG Phillip,L:ROACH Melanie,UG:EDWARDS Fenella
1,1,4,,,,6,3,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,3,,,,4,6,5,1,2,,,,,,,,,,,,,,,,,,,12,,,,10,11,1,2,3,4,5,6,7,8,9
1,3,,6,,,3,2,4,,,,1,5,,,,,,,,,,,12,,7,8,9,10,11,,,,,,,,1,2,3,4,5,6,,,
1,4,,,,9,8,7,6,5,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,2,,,,5,3,,4,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,4,,,,3,2,,5,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,4,12,3,2,9,10,8,7,6,11,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,6,4,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,4,3,12,2,5,6,11,7,10,8,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,6,2,3,,,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,5,,,4,,3,2,,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,4,11,10,9,3,5,7,6,8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,,,4,5,3,2,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,2,5,3,,,,,4,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,,,,,3,4,2,5,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,,4,5,6,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,3,4,2,11,10,5,,6,8,7,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,5,,,4,3,,,,6,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,,,6,5,3,2,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,,,,3,4,,2,,5,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,,2,,3,6,,,,4,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,,,,4,,,5,,6,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,6,5,8,7,4,12,3,11,10,9,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,,4,,,,3,2,6,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,3,12,11,10,9,4,2,7,8,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,,2,,,3,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,4,5,,,2,,3,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,,,2,5,,6,4,,3,7,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,,6,,5,4,,2,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,9,8,5,10,4,,3,6,2,11,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,11,12,4,6,7,10,9,8,3,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,4,,5,3,,6,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,,,,,,,2,,,,1,,,,,5,,,4,,3,,,6,,,,,1,2,,7,,,,,8,9,10,11,12,,,,
1,34,,3,,,,,4,,5,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,2,3,,,,6,,5,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,,,,6,,5,3,,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,,3,,,6,,5,,,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,,2,10,5,4,9,8,,7,6,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
1,39,,3,,,4,2,,6,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,,5,,3,4,,2,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41,5,,,6,4,2,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,6,2,,,,3,,,4,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,,2,3,,4,5,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,4,,,,,,6,,2,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45,8,,7,6,5,,4,,,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,5,6,,2,3,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47,,,,3,5,2,4,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,,,,3,6,,2,4,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,,,5,4,3,6,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,6,,,5,,4,,3,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,,,3,,,,2,,4,6,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,,,7,4,,,5,6,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,4,5,,,6,3,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,10,7,11,6,4,5,9,2,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,7,2,5,12,11,3,4,10,6,8,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,10,4,2,5,11,12,6,9,8,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,4,5,6,,,,3,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,,6,,5,,2,3,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,6,2,3,,,4,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,6,4,,,,2,3,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,,,,6,4,3,2,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,6,,2,,,,,4,,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
