Booth,Paper,A:The Great Australian Party,B:Australian Christians,C:Citizens Party,D:Trumpet of Patriots,E:Sustainable Australia Party - Universal Basic Income,F:Australian Democrats,G:Libertarian,H:Gerard Rennick People First,I:The Greens (WA) Inc,J:FUSION | Planet Rescue | Whistleblower Protection | Innovation,K:Socialist Alliance,L:Australian Labor Party,M:Pauline Hanson's One Nation,N:Legalise Cannabis Party,O:Animal Justice Party,P:Australia's Voice,Q:Liberal,R:The Nationals,A:CULLERTON Rodney,A:NEWTON-WORDSWORTH William,B:KLOMP Steve,B:NG Joan Lee,C:NOVAKOVICH Aisha Nancy,C:RYLES Rex Michael,D:BANNISTER Melissa,D:MONGAN Trent Kenneth,D:ROBINS Peter,D:STEWART Lincoln,E:OBORN Karen,E:OOSTRYCK Ryan,F:MITCHELL Elana,F:SIMSON Simon,G:BURNS Ryan,G:NICOL Gary,H:KING Madison,H:CLUNE Jody,I:STEELE-JOHN Jordon,I:COLLINS Simone,I:CLARKE Donald,I:IVES Verity,I:LONSDALE Heather,J:CARRIE-WILSON Tian,J:ALDERDICE Tamara,K:SOBIERALSKI Jade,K:BREEN Riley,L:WHITEAKER Ellie,L:GHOSH Varun,L:SINGH Deep,L:DEWAN Tarun,L:WHITE Ally,L:OSWALD Brock,M:WHITTEN Tyron,M:DOYLE Conor,N:MEOTTI Jason,N:D'ATH Melissa Rose,O:ANAGNO Michael,O:STEWART Grant,P:KRAKOUER Megan,P:LA MACCHIA Tano,Q:BROCKMAN Slade,Q:O'SULLIVAN Matt,Q:BOTHA Trish,Q:MATHEWS Jennifer,R:BROWN Paul,R:MILES Jeremy,UG:CAO Ky,UG:MUBARAK Kim
1,1,3,,,,2,,,,6,,4,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,5,,6,,2,,,1,3,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,6,,,5,,,1,4,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,2,,,,,,,3,4,,6,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,,,3,,4,,,,,,,,,5,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,,,3,,,6,4,2,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,,,,,,,,,7,8,9,10,11,12,13,14,,,,,4,6,3,5,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,,,,11,,,12,,,10,,,,9,,8,,,,,,,7,,,,,,,,5,6,2,,3,,,,4,,,1,,,,
1,10,6,5,7,8,16,13,9,4,18,14,15,17,3,12,10,11,1,2,17,18,13,14,19,20,23,24,25,26,27,28,21,22,15,16,9,10,,,,,,,,,,,,,,,,7,8,,,11,12,,,1,2,3,4,5,6,,
1,11,,,,,,,,,6,,,5,4,3,2,,1,,,,,,,,,,,,,,,,,,,,11,12,,,,,,9,10,,,,,,,7,8,5,6,,,,,1,2,3,4,,,,
1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,5,6,7,8,9,,,,,,,,,,,,,3,4,10,11,,,,,,,1,2,,
1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,3,4,5,6,7,8,,,9,10,,,,,,,,,,,11,12
1,14,,,,,,,,,,,,,,,,,,,,,1,2,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,6,7,8,9,10,,,,,,,,
1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,9,12,10,11,,,,,3,8,4,7,5,6,,,,,,,,,,,,,,,1,2
1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,12,,,,,,3,4,5,7,8,9,6,10,,,2,1,,,,,,,,,,,,
1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,12,13,5,3,4,6,7,,,,,,,,,,,,,9,10,,,11,,,,,,,,1,2
1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,,,,,,,9,10,11,12,13,3,4,5,6,14,15,16,17,18,19,,,,,1,2,,,,,,,,,,
1,19,,,,,,,,,,,,,,,,,,,7,8,,,11,12,3,4,5,6,,,,,,,9,10,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,
1,20,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,8,,,11,12,,,,,,,,,,,,,,,,,,,,1,2,3,4,,,,,,,,,9,10,,
